Location,Year,Distance,Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Tokyo,2020,200,Breaststroke,0,Women,GBR,Abbie Wood,02:23.7,4
Tokyo,2020,200,Breaststroke,0,Women,BEL,Fanny Lecluyse,02:24.6,4
Tokyo,2020,200,Butterfly,0,Women,CHN,Yufei Zhang,02:03.9,1
Tokyo,2020,200,Butterfly,0,Women,USA,Regan Smith,02:05.3,2
Tokyo,2020,200,Butterfly,0,Women,USA,Hali Flickinger,02:05.6,3
Tokyo,2020,200,Butterfly,0,Women,HUN,Boglarka Kapas,02:06.5,4
Tokyo,2020,200,Butterfly,0,Women,ROC,Svetlana Chimrova,02:07.7,4
Tokyo,2020,200,Butterfly,0,Women,CHN,Liyan Yu,02:07.8,4
Tokyo,2020,200,Butterfly,0,Women,GBR,Alys Margaret Thomas,02:07.9,4
Tokyo,2020,200,Butterfly,0,Women,AUS,Brianna Throssell,02:09.5,4
Tokyo,2020,200,Freestyle,0,Women,AUS,Ariarne Titmus,01:53.5,1
Tokyo,2020,200,Freestyle,0,Women,HKG,Siobhan Bernadette Haughey,01:53.9,2
Tokyo,2020,200,Freestyle,0,Women,CAN,Penny Oleksiak,01:54.7,3
Tokyo,2020,200,Freestyle,0,Women,CHN,Junxuan Yang,01:55.0,4
Tokyo,2020,200,Freestyle,0,Women,USA,Katie Ledecky,01:55.2,4
Tokyo,2020,200,Freestyle,0,Women,CZE,Barbora Seemanova,01:55.5,4
Tokyo,2020,200,Freestyle,0,Women,ITA,Federica Pellegrini,01:55.9,4
Tokyo,2020,200,Freestyle,0,Women,AUS,Madison Wilson,01:56.4,4
Tokyo,2020,200,Individual medley,0,Women,JPN,Yui Ohashi,02:08.5,1
Tokyo,2020,200,Individual medley,0,Women,USA,Alex Walsh,02:08.7,2
Tokyo,2020,200,Individual medley,0,Women,USA,Kate Douglass,02:09.0,3
Tokyo,2020,200,Individual medley,0,Women,GBR,Abbie Wood,02:09.1,4
Tokyo,2020,200,Individual medley,0,Women,CHN,Yiting Yu,02:09.6,4
Tokyo,2020,200,Individual medley,0,Women,CAN,Sydney Pickrem,02:10.0,4
Tokyo,2020,200,Individual medley,0,Women,HUN,Katinka Hosszu,02:12.4,4
Tokyo,2020,200,Individual medley,0,Women,GBR,Alicia Wilson,02:12.9,4
Tokyo,2020,400,Freestyle,0,Women,AUS,Ariarne Titmus,03:56.7,1
Tokyo,2020,400,Freestyle,0,Women,USA,Katie Ledecky,03:57.4,2
Tokyo,2020,400,Freestyle,0,Women,CHN,Bingjie Li,04:01.1,3
Tokyo,2020,400,Freestyle,0,Women,CAN,Summer Mcintosh,04:02.4,4
Tokyo,2020,400,Freestyle,0,Women,CHN,Muhan Tang,04:04.1,4
Tokyo,2020,400,Freestyle,0,Women,GER,Isabel Gose,04:05.0,4
Tokyo,2020,400,Freestyle,0,Women,USA,Paige Madden,04:06.8,4
Tokyo,2020,400,Freestyle,0,Women,NZL,Erika Fairweather,04:08.0,4
Tokyo,2020,400,Freestyle,0,Women,AUS,Ariarne Titmus,03:56.7,1
Tokyo,2020,400,Freestyle,0,Women,USA,Katie Ledecky,03:57.4,2
Tokyo,2020,400,Freestyle,0,Women,CHN,Bingjie Li,04:01.1,3
Tokyo,2020,400,Freestyle,0,Women,CAN,Summer Mcintosh,04:02.4,4
Tokyo,2020,400,Freestyle,0,Women,CHN,Muhan Tang,04:04.1,4
Tokyo,2020,400,Freestyle,0,Women,GER,Isabel Gose,04:05.0,4
Tokyo,2020,400,Freestyle,0,Women,USA,Paige Madden,04:06.8,4
Tokyo,2020,400,Freestyle,0,Women,NZL,Erika Fairweather,04:08.0,4
